datasheet_id,line,name,M,T,Sv,inv_sv,inv_sv_descr,W,Ld,OC,base_size,base_size_descr
1,1,Warboss,"6""",5,4+,5,,6,6+,1,40mm,
2,1,Warboss In Mega Armour,"5""",6,2+,5,,7,6+,1,50mm,
3,1,Warboss On Warbike,"12""",6,4+,5,,7,6+,2,100 x 40mm,
4,1,Weirdboy,"6""",5,5+,-,,4,7+,1,40mm,
6,1,Big Mek In Mega Armour,"5""",6,2+,-,,5,7+,1,40mm,
7,1,Big Mek On Warbike,"12""",6,4+,6,,6,7+,2,90 x 52mm,
8,1,GHAZGHKULL THRAKA,"5""",6,2+,4,,10,6+,4,80mm,
8,2,MAKARI,"5""",6,7+,2,You cannot re-roll invulnerable saving throws made for this model.,1,8+,1,25mm,
9,1,Kaptin Badrukk,"6""",5,3+,4,,6,7+,1,40mm,
10,1,Boss Zagstruk,"12""",5,4+,5,,6,6+,1,40mm,
11,1,Boss Snikrot,"6""",5,5+,5,,6,6+,1,40mm,
12,1,Mek,"6""",5,5+,-,,4,7+,1,32mm,
13,1,Painboy,"6""",5,5+,-,,3,7+,1,32mm,
14,1,Painboy On Warbike,"12""",6,4+,6,,4,7+,2,90 x 52mm,
15,1,Mad Dok Grotsnik,"6""",5,5+,5,,4,7+,1,32mm,
16,1,BOY,"6""",5,5+,-,,1,7+,2,32mm,
16,2,BOSS NOB,"6""",5,5+,-,,2,7+,2,32mm,
17,1,GRETCHIN,"6""",2,7+,-,,1,8+,2,25mm,
17,2,RUNTHERD,"6""",5*,5+,-,,2,7+,1,32mm,
19,1,Burna Boyz,"6""",5,5+,-,,1,7+,1,32mm,
20,1,TANKBUSTAS,"6""",5,4+,-,,2,7+,1,32mm,Nob on 40mm
21,1,Nobz,"6""",5,4+,-,,2,7+,1,32mm,
22,1,Nob With Waaagh! Banner,"6""",5,4+,-,,3,7+,1,32mm,
23,1,Nobz On Warbikes,"12""",6,4+,6,,4,7+,2,75 x 42mm,
24,1,Meganobz,"5""",6,2+,-,,3,7+,1,40mm,
25,1,KOMMANDOS,"6""",5,5+,-,,1,7+,1,32mm,
25,2,BOSS NOB,"6""",5,5+,-,,2,7+,1,32mm,
26,1,Trukk,"12""",8,4+,6,,10,7+,2,Use model,
27,1,STORMBOY,"12""",5,5+,-,,1,7+,1,32mm,
27,2,BOSS NOB,"12""",5,5+,-,,2,7+,1,32mm,
28,1,Deffkoptas,"12""",6,4+,6,,4,7+,2,75 x 42mm,
29,1,Dakkajet,"20+""",9,3+,6,,12,7+,0,120 x 92mm flying base,
30,1,Burna-bommer,"20+""",9,3+,6,,12,7+,0,120 x 92mm flying base,
31,1,Blitza-bommer,"20+""",9,3+,6,,12,7+,0,120 x 92mm flying base,
32,1,Wazbom Blastajet,"20+""",9,3+,6,,12,7+,0,120 x 92mm flying base,
33,1,WARBIKER,"12""",6,4+,6,,3,7+,2,75 x 42mm,
